solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h, m, q, E, I
Finite Element - Exact Integration,6.3745525831167662E-04,1.1041048949477668E-03,3.5777087639996636E-03,1.3856406460551019E-02,2.0000000000000000E-03,1,2,1,1,3,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.7705707088169721E-04,3.0667184260642360E-04,1.9493588689617927E-03,1.3856406460551019E-02,2.7499999999999998E-03,2,2,1,2,4,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.5302663820203214E-05,7.8466515454804332E-05,9.9373034571758950E-04,1.3856406460551019E-02,2.9375000000000000E-03,4,2,1,4,6,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.1389641229263937E-05,1.9727437289066386E-05,4.9921813869289642E-04,1.3856406460551019E-02,2.9843750000000000E-03,8,2,1,8,10,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,2.8513947446034825E-06,4.9387605700881083E-06,2.4990232466905947E-04,1.3856406460551019E-02,2.9960937500000001E-03,16,2,1,16,18,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,7.1309749606853801E-07,1.2351210939408654E-06,1.2498779237264535E-04,1.3856406460551019E-02,2.9990234375000002E-03,32,2,1,32,34,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.7828992124612440E-07,3.0880720207575136E-07,6.2498474102466850E-05,1.3856406460551019E-02,2.9997558593750002E-03,64,2,1,64,66,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.4573451960385841E-08,7.7203483464122040E-08,3.1249809264554639E-05,1.3856406460551019E-02,2.9999389648437502E-03,128,2,1,128,130,1/800000,0,0,0,0,1000000,1/19200000000
