solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h, m, q, E, I
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,1,4,3,3,5,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,2,4,3,4,6,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,4,4,3,6,8,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.9080065470155435E-20,1.3401279113484939E-19,1.8894290132272231E-18,3.3043520174543793E-17,3.0000000000000001E-03,8,4,3,10,12,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,5.0593007849534094E-20,6.5324940073886183E-19,1.5304382641278354E-17,4.8866466533975192E-16,3.0000000000000001E-03,16,4,3,18,20,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,3.2031271845115121E-20,8.7351422048784358E-19,5.4493951702692055E-17,4.4935111087828710E-15,3.0000000000000001E-03,32,4,3,34,36,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,3.7749751176619482E-20,3.1912251844338490E-18,4.2008161571135179E-16,6.8181196381937009E-14,3.0000000000000001E-03,64,4,3,66,68,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,5.3809276405517135E-20,6.6552897741803728E-18,1.4315867139694499E-15,3.9859478012502912E-13,3.0000000000000001E-03,128,4,3,130,132,1/800000,0,0,0,0,1000000,1/19200000000
