solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1),  NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h, m, q, E, I
Finite Element - Exact Integration,3.9840953644479788E-05,1.3801311186847085E-04,8.9442719099991591E-04,6.9282032302755096E-03,3.0000000000000001E-03,1,3,1,2,4,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,2.4900596027799868E-06,1.7251638983558856E-05,2.2360679774997898E-04,3.4641016151377548E-03,3.0000000000000001E-03,2,3,1,4,6,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.5562872517376318E-07,2.1564548729448570E-06,5.5901699437494744E-05,1.7320508075688774E-03,3.0000000000000001E-03,4,3,1,8,10,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,9.7267953233683297E-09,2.6955685911810713E-07,1.3975424859373686E-05,8.6602540378443870E-04,3.0000000000000001E-03,8,3,1,16,18,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,6.0792470770791623E-10,3.3694607389763391E-08,3.4938562148434215E-06,4.3301270189221935E-04,3.0000000000000001E-03,16,3,1,32,34,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,3.7995294236841392E-11,4.2118259237204238E-09,8.7346405371085538E-07,2.1650635094610967E-04,3.0000000000000001E-03,32,3,1,64,66,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,2.3747058828352904E-12,5.2647824046505298E-10,2.1836601342771385E-07,1.0825317547305484E-04,3.0000000000000001E-03,64,3,1,128,130,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,1.4841912172904540E-13,6.5809780058133186E-11,5.4591503356929149E-08,5.4126587736527527E-05,3.0000000000000001E-03,128,3,1,256,258,1/800000,0,0,0,0,1000000,1/19200000000
