solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h, m, q, E, I
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,1,4,1,3,5,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,2,4,1,6,8,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,5.0740455745565185E-21,5.6882003362843646E-20,1.3460738804684947E-18,2.4079301595715846E-17,3.0000000000000001E-03,4,4,1,12,14,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,3.0501828931498415E-20,7.4999225945536711E-19,2.6355114965125824E-17,1.1496651741055075E-15,3.0000000000000001E-03,8,4,1,24,26,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.6235608068447768E-20,1.9894827759527700E-18,1.8601329854050128E-16,1.6714631054177861E-14,3.0000000000000001E-03,16,4,1,48,50,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.9790287779159822E-20,4.7381003136345023E-18,8.5750466009505594E-16,1.4736338755564461E-13,3.0000000000000001E-03,32,4,1,96,98,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.6003691349428544E-20,8.5184150708583550E-18,3.2130596210172908E-15,1.0169056758302279E-12,3.0000000000000001E-03,64,4,1,192,194,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.8677515729803910E-20,1.7767839398818047E-17,1.4264289346675759E-14,1.0001855420662527E-11,3.0000000000000001E-03,128,4,1,384,386,1/800000,0,0,0,0,1000000,1/19200000000
