solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1),  NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h, m, q, E, I
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,1,4,2,3,5,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,2,4,2,5,7,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,3.0000000000000001E-03,4,4,2,9,11,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.5523228784978655E-20,6.8966356078332307E-19,1.8034464251562356E-17,6.3894945883059512E-16,3.0000000000000001E-03,8,4,2,17,19,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,3.9436041734206924E-20,1.4435220216717225E-18,7.6687151631065832E-17,6.1419115058596053E-15,3.0000000000000001E-03,16,4,2,33,35,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,5.0291365321722220E-20,2.5225179333833296E-18,2.9543311658212166E-16,5.2011457666733916E-14,3.0000000000000001E-03,32,4,2,65,67,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.0553629530654521E-20,5.8547706250586035E-18,1.3782603798764046E-15,5.0836375210101675E-13,3.0000000000000001E-03,64,4,2,129,131,1/800000,0,0,0,0,1000000,1/19200000000
Finite Element - Exact Integration,4.6269360593825528E-20,1.2604122281148661E-17,6.0674964074432339E-15,4.3501701016757123E-12,3.0000000000000001E-03,128,4,2,257,259,1/800000,0,0,0,0,1000000,1/19200000000
