solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1),  NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,1,4,0,4,5,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,2,4,0,8,9,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,4,4,0,16,17,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,8,4,0,32,33,x^2,0,0
Finite Element - Exact Integration,1.6850609621041655E-18,7.9125222496289988E-17,7.0646018951518195E-15,4.6296280602559119E-13,8.3333333333333329E-02,16,4,0,64,65,x^2,0,0
Finite Element - Exact Integration,2.6351532811950378E-18,1.9283919699486810E-16,3.1525538205151162E-14,4.2124898278372185E-12,8.3333333333333329E-02,32,4,0,128,129,x^2,0,0
Finite Element - Exact Integration,2.8037503185200635E-18,3.9229017966021653E-16,1.2599659534337296E-13,3.5339421385941606E-11,8.3333333333333329E-02,64,4,0,256,257,x^2,0,0
Finite Element - Exact Integration,2.8744911861665781E-18,7.7917909845180115E-16,5.0216532305681299E-13,2.8486059124592966E-10,8.3333333333333329E-02,128,4,0,512,513,x^2,0,0
