solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,5.7887563583525299E-03,3.7796447300922721E-02,2.9999999999999999E-01,1.1547005383792515E+00,8.3333333333333329E-02,1,2,0,2,3,x^2,0,0
Finite Element - Exact Integration,8.0473411867750975E-04,1.0446386175466811E-02,1.6266017746619280E-01,1.1547005383792515E+00,8.3333333333333329E-02,2,2,0,4,5,x^2,0,0
Finite Element - Exact Integration,1.0297139969205743E-04,2.6702914352568991E-03,8.2837063966962679E-02,1.1547005383792515E+00,8.3333333333333329E-02,4,2,0,8,9,x^2,0,0
Finite Element - Exact Integration,1.2944720602815676E-05,6.7119116639392546E-04,4.1604771736544838E-02,1.1547005383792515E+00,8.3333333333333329E-02,8,2,0,16,17,x^2,0,0
Finite Element - Exact Integration,1.6203724698220901E-06,1.6802317489899242E-04,2.0825600778523967E-02,1.1547005383792515E+00,8.3333333333333329E-02,16,2,0,32,33,x^2,0,0
Finite Element - Exact Integration,2.0261782078615489E-07,4.2019868375411046E-05,1.0415700231860874E-02,1.1547005383792515E+00,8.3333333333333329E-02,32,2,0,64,65,x^2,0,0
Finite Element - Exact Integration,2.5329454048114063E-08,1.0505846575380849E-05,5.2082125331856608E-03,1.1547005383792515E+00,8.3333333333333329E-02,64,2,0,128,129,x^2,0,0
Finite Element - Exact Integration,3.1662513287475276E-09,2.6265166085648209E-06,2.6041515667794848E-03,1.1547005383792515E+00,8.3333333333333329E-02,128,2,0,256,257,x^2,0,0
