solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1),  NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,1,4,2,4,5,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,2,4,2,6,7,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,4,4,2,10,11,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,8,4,2,18,19,x^2,0,0
Finite Element - Exact Integration,1.8615893500117378E-18,4.3292795120795028E-17,1.8533299377471411E-15,1.2517120033070543E-13,8.3333333333333329E-02,16,4,2,34,35,x^2,0,0
Finite Element - Exact Integration,3.1238325935717776E-18,8.4352795063432892E-17,7.8429222286472018E-15,1.2155612145038069E-12,8.3333333333333329E-02,32,4,2,66,67,x^2,0,0
Finite Element - Exact Integration,3.2724530056630032E-18,1.6368278689575520E-16,3.4598891253783435E-14,1.0974313576855738E-11,8.3333333333333329E-02,64,4,2,130,131,x^2,0,0
Finite Element - Exact Integration,3.3222223464777533E-18,3.1467049891121990E-16,1.3562467988748538E-13,8.7990136115340784E-11,8.3333333333333329E-02,128,4,2,258,259,x^2,0,0
