solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,6.6401589407466316E-04,6.2994078834871202E-03,8.1649658092772609E-02,5.7735026918962573E-01,8.3333333333333329E-02,1,3,1,3,4,x^2,0,0
Finite Element - Exact Integration,6.7770838399203696E-05,1.0499013139145200E-03,2.1032993873334346E-02,2.9397236789606562E-01,8.3333333333333329E-02,2,3,1,5,6,x^2,0,0
Finite Element - Exact Integration,5.6925808284099680E-06,1.5593358095106660E-04,5.0607453156694864E-03,1.4640376983400091E-01,8.3333333333333329E-02,4,3,1,9,10,x^2,0,0
Finite Element - Exact Integration,4.0209599073838222E-07,2.1027360833017498E-05,1.2166406840450794E-03,7.2698394803445893E-02,8.3333333333333329E-02,8,3,1,17,18,x^2,0,0
Finite Element - Exact Integration,2.6471766421737514E-08,2.7196326085013303E-06,2.9772859525518323E-04,3.6217041332233919E-02,8.3333333333333329E-02,16,3,1,33,34,x^2,0,0
Finite Element - Exact Integration,1.6948318858781184E-09,3.4551381345735781E-07,7.3614996515440319E-05,1.8075388710213091E-02,8.3333333333333329E-02,32,3,1,65,66,x^2,0,0
Finite Element - Exact Integration,1.0716557192474035E-10,4.3532549966045975E-08,1.8300749949892783E-05,9.0293999687222574E-03,8.3333333333333329E-02,64,3,1,129,130,x^2,0,0
Finite Element - Exact Integration,6.7362202505124964E-12,5.4629000269968039E-09,4.5622580921089525E-06,4.5126249589106616E-03,8.3333333333333329E-02,128,3,1,257,258,x^2,0,0
