solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,1,4,1,4,5,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,2,4,1,7,8,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,4,4,1,13,14,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,8,4,1,25,26,x^2,0,0
Finite Element - Exact Integration,1.6789474315247983E-18,7.3783209310347748E-17,6.6957893321146860E-15,4.4863708098059663E-13,8.3333333333333329E-02,16,4,1,49,50,x^2,0,0
Finite Element - Exact Integration,2.7218484190461235E-18,1.8476602482196166E-16,3.0368256270822953E-14,4.1872937125418018E-12,8.3333333333333329E-02,32,4,1,97,98,x^2,0,0
Finite Element - Exact Integration,2.8460371222056204E-18,3.8307849886499805E-16,1.2347064406988054E-13,3.5226412899985328E-11,8.3333333333333329E-02,64,4,1,193,194,x^2,0,0
Finite Element - Exact Integration,2.8948093086309331E-18,7.7016334157785657E-16,4.9719801666577336E-13,2.8443141171739057E-10,8.3333333333333329E-02,128,4,1,385,386,x^2,0,0
