solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,1,4,3,4,5,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,2,4,3,5,6,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,4,4,3,7,8,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,8,4,3,11,12,x^2,0,0
Finite Element - Exact Integration,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00,8.3333333333333329E-02,16,4,3,19,20,x^2,0,0
Finite Element - Exact Integration,3.7557576088971940E-18,3.5714079977953998E-17,1.3933679840446318E-15,8.8366685731375731E-14,8.3333333333333329E-02,32,4,3,35,36,x^2,0,0
Finite Element - Exact Integration,3.8775601397913851E-18,5.0679166181941920E-17,3.8700647020092338E-15,5.0077442538177326E-13,8.3333333333333329E-02,64,4,3,67,68,x^2,0,0
Finite Element - Exact Integration,3.9640696994642193E-18,7.2271707526063190E-17,1.0943593244191018E-14,2.8055552955386399E-12,8.3333333333333329E-02,128,4,3,131,132,x^2,0,0
