solutionType, Error u(x), Error du(x), Error d2u(x), Error d3u(x), y(1), NumElements, ElementDegree, Continuity, ndofs, nnodes, f, g, h
Finite Element - Exact Integration,5.7887563583525299E-03,3.7796447300922721E-02,2.9999999999999999E-01,1.1547005383792515E+00,8.3333333333333329E-02,1,2,1,2,3,x^2,0,0
Finite Element - Exact Integration,9.7857899171886471E-04,1.1246692635530468E-02,1.6583123951776998E-01,1.1547005383792515E+00,8.3333333333333329E-02,2,2,1,3,4,x^2,0,0
Finite Element - Exact Integration,1.0853351432064021E-04,2.7277236279499048E-03,8.3342367707559400E-02,1.1547005383792515E+00,8.3333333333333329E-02,4,2,1,5,6,x^2,0,0
Finite Element - Exact Integration,1.3124977972903611E-05,6.7508603301342899E-04,4.1675423222205521E-02,1.1547005383792515E+00,8.3333333333333329E-02,8,2,1,9,10,x^2,0,0
Finite Element - Exact Integration,1.6261086936610271E-06,1.6827627317638296E-04,2.0834897930934678E-02,1.1547005383792515E+00,8.3333333333333329E-02,16,2,1,17,18,x^2,0,0
Finite Element - Exact Integration,2.0279853682125180E-07,4.2035986748814683E-05,1.0416891611835647E-02,1.1547005383792515E+00,8.3333333333333329E-02,32,2,1,33,34,x^2,0,0
Finite Element - Exact Integration,2.5335122895840518E-08,1.0506863289202827E-05,5.2083632870440072E-03,1.1547005383792515E+00,8.3333333333333329E-02,64,2,1,65,66,x^2,0,0
Finite Element - Exact Integration,3.1664288050171211E-09,2.6265804433861283E-06,2.6041705255976022E-03,1.1547005383792515E+00,8.3333333333333329E-02,128,2,1,129,130,x^2,0,0
