solutionType, Error, NumElements, ElementDegree, f, g, h
Finite Element - Exact Integration,3.3200794703733158E-04,1,3,x^2,0,0
Finite Element - Exact Integration,1.0375248344916612E-05,2,3,x^2,0,0
Finite Element - Exact Integration,3.2422651077873465E-07,4,3,x^2,0,0
Finite Element - Exact Integration,1.0132078461820317E-08,8,3,x^2,0,0
Finite Element - Exact Integration,3.1662745193441127E-10,16,3,x^2,0,0
Finite Element - Exact Integration,9.8946078698911621E-12,32,3,x^2,0,0
Finite Element - Exact Integration,3.0920649484141756E-13,64,3,x^2,0,0
Finite Element - Exact Integration,9.6627028228854285E-15,128,3,x^2,0,0
